,PCODE_YEAR,타율,홈런,볼삼비,P/PA,초구,전체,컨택%,2S후커트%,2S후선구%,출루율
238,68525_2020,0.278,17.0,0.5876288659793815,3.89,33.3,43.1,79.9,75.0,37.5,0.3612167300380228
239,68743_2020,0.248,3.0,1.0,4.34,8.3,35.4,85.6,83.5,30.8,0.36212624584717606
240,71564_2020,0.292,20.0,0.7794117647058824,3.55,35.4,50.6,82.5,81.2,32.4,0.3629032258064516
241,71752_2020,0.21899999999999997,2.0,0.7142857142857143,3.98,17.3,45.4,83.0,79.1,29.0,0.32421875
242,71837_2020,0.253,12.0,0.43548387096774194,3.71,30.0,50.6,75.7,72.6,30.7,0.3271604938271605
243,72133_2020,0.3,2.0,0.4411764705882353,3.67,30.9,52.5,82.0,80.5,26.6,0.34177215189873417
244,72443_2020,0.354,28.0,0.693069306930693,4.13,24.5,46.2,77.6,78.8,34.2,0.4380165289256198
245,73113_2020,0.281,13.0,0.5,4.32,20.7,42.2,73.0,70.1,38.5,0.38461538461538464
246,73136_2020,0.203,8.0,0.2318840579710145,3.72,51.2,52.7,65.6,57.2,33.9,0.2701612903225806
247,74163_2020,0.28600000000000003,1.0,1.6388888888888888,4.26,28.1,44.6,94.9,91.9,31.1,0.38144329896907214
248,74206_2020,0.289,2.0,1.0,3.97,21.2,45.0,86.8,86.5,36.2,0.36323851203501095
249,74339_2020,0.28,11.0,0.7843137254901961,3.94,20.1,41.5,86.8,82.2,33.6,0.34965034965034963
250,74465_2020,0.306,14.0,1.2096774193548387,4.25,28.6,41.1,81.6,82.0,38.3,0.43847874720357943
251,74540_2020,0.287,19.0,0.5740740740740741,3.83,21.1,43.9,77.9,77.4,35.4,0.3518987341772152
252,74729_2020,0.23399999999999999,8.0,0.3050847457627119,4.18,30.0,49.8,70.7,72.6,35.2,0.30416666666666664
253,75125_2020,0.223,21.0,0.5,4.38,17.8,43.6,64.0,63.9,36.6,0.35584415584415585
254,75334_2020,0.312,16.0,0.6630434782608695,3.79,41.6,49.5,78.2,72.2,41.6,0.39065420560747666
255,75566_2020,0.268,13.0,0.5975609756097561,4.09,23.3,44.2,79.4,77.3,36.0,0.3426124197002141
256,75847_2020,0.27,33.0,0.7653061224489796,3.95,38.9,47.4,77.2,74.2,37.8,0.3935018050541516
257,76232_2020,0.32799999999999996,33.0,0.9787234042553191,3.59,32.6,47.2,89.1,85.9,30.0,0.40823970037453183
258,76249_2020,0.233,2.0,0.3387096774193548,3.6,33.6,47.9,80.5,68.9,36.9,0.29289940828402367
259,76267_2020,0.306,16.0,0.7121212121212122,4.2,10.5,43.7,88.7,87.3,25.8,0.3719723183391003
260,76290_2020,0.331,22.0,1.1886792452830188,3.81,24.6,44.6,87.8,86.6,30.3,0.40415335463258784
261,76313_2020,0.312,21.0,0.47959183673469385,3.84,28.2,46.2,82.1,77.3,33.4,0.37018425460636517
262,79402_2020,0.304,5.0,1.0,4.15,13.0,36.8,89.0,84.1,36.2,0.39787234042553193
263,76753_2020,0.235,9.0,0.2028985507246377,3.52,46.3,55.3,74.1,64.8,36.5,0.2785234899328859
264,76812_2020,0.185,2.0,0.7916666666666666,3.62,37.5,48.8,87.2,85.0,37.8,0.2749003984063745
265,76849_2020,0.306,2.0,0.6410256410256411,3.95,19.4,42.6,85.0,80.5,32.9,0.37383177570093457
266,77532_2020,0.35200000000000004,11.0,1.0892857142857142,3.71,35.8,48.7,84.3,85.2,35.1,0.4185667752442997
267,77564_2020,0.266,5.0,0.36363636363636365,3.97,24.0,49.3,78.7,76.9,29.6,0.3293051359516616
268,78135_2020,0.29600000000000004,17.0,0.4426229508196721,3.84,27.6,44.8,76.6,71.1,37.0,0.37037037037037035
269,78168_2020,0.27699999999999997,5.0,1.5689655172413792,3.97,21.0,39.2,87.2,84.2,39.8,0.39086294416243655
270,78224_2020,0.266,30.0,0.5909090909090909,3.92,38.0,45.3,68.6,61.0,40.5,0.3760129659643436
271,78288_2020,0.301,3.0,0.6590909090909091,3.87,22.4,45.6,85.0,84.1,33.7,0.3828125
272,78513_2020,0.27899999999999997,26.0,0.6582278481012658,3.73,27.4,43.7,82.1,79.5,37.9,0.3472
273,78548_2020,0.278,13.0,0.59375,3.81,34.7,45.3,84.0,79.3,33.3,0.33707865168539325
274,78603_2020,0.33,1.0,0.9302325581395349,4.04,22.2,35.8,90.7,83.6,34.4,0.4057142857142857
275,78629_2020,0.29100000000000004,17.0,0.5614035087719298,4.01,26.6,43.4,72.7,68.2,41.5,0.39317773788150806
276,79109_2020,0.3,10.0,0.3879310344827586,4.12,34.5,48.5,76.2,75.2,36.1,0.3628620102214651
277,79150_2020,0.247,4.0,0.4603174603174603,3.84,23.2,42.6,80.5,76.2,30.3,0.31215469613259667
278,79192_2020,0.293,15.0,0.463768115942029,3.74,23.3,49.8,79.4,78.8,31.6,0.35268817204301073
279,79215_2020,0.304,14.0,0.6461538461538462,3.73,28.1,45.4,84.0,80.8,29.9,0.3709090909090909
280,79231_2020,0.298,5.0,0.9821428571428571,3.84,17.5,42.7,88.2,84.7,31.8,0.37117117117117115
281,79240_2020,0.332,7.0,1.25,3.45,17.9,42.5,90.8,89.2,31.8,0.38477366255144035
282,79365_2020,0.25,12.0,0.5588235294117647,3.97,42.5,49.7,71.5,75.2,36.8,0.33783783783783783
283,79456_2020,0.309,0.0,0.6785714285714286,3.41,22.2,47.4,88.7,86.7,26.0,0.36585365853658536
284,79608_2020,0.28600000000000003,8.0,0.7446808510638298,3.74,17.6,43.8,86.7,85.2,26.3,0.3537117903930131
285,62558_2020,0.225,5.0,0.875,4.07,27.4,40.1,81.1,73.7,43.6,0.3442622950819672
286,64646_2020,0.223,3.0,0.41379310344827586,3.95,32.5,45.4,85.0,80.6,32.2,0.27552986512524086
287,65898_2020,0.275,8.0,0.26153846153846155,4.06,31.9,49.0,69.6,67.2,36.1,0.33766233766233766
288,66409_2020,0.18100000000000002,10.0,0.28125,3.94,33.1,51.6,68.1,67.7,33.2,0.2572614107883817
289,69209_2020,0.34,21.0,1.380952380952381,3.66,28.3,47.9,88.6,89.3,38.4,0.40508221225710017
290,69453_2020,0.228,4.0,0.4482758620689655,4.03,37.9,49.2,69.7,69.8,36.4,0.31666666666666665
291,69652_2020,0.306,32.0,1.1343283582089552,3.88,28.2,43.0,84.3,81.8,41.0,0.40063091482649843
292,69737_2020,0.22,12.0,0.28448275862068967,3.89,39.3,50.5,67.2,64.3,31.7,0.2997416020671835
293,50165_2020,0.278,38.0,0.40441176470588236,4.06,31.2,47.2,71.0,63.9,37.3,0.3687374749498998
294,50350_2020,0.254,2.0,0.5945945945945946,3.67,31.7,49.2,81.0,77.6,40.0,0.31985294117647056
295,50458_2020,0.23199999999999998,1.0,0.5454545454545454,3.74,27.2,45.2,86.4,77.8,32.2,0.30141843971631205
296,50506_2020,0.28,12.0,0.9,3.76,26.8,43.9,87.2,83.3,33.9,0.35842293906810035
297,50730_2020,0.265,9.0,0.3333333333333333,3.88,40.4,52.8,64.8,66.8,34.5,0.34375
298,50854_2020,0.258,1.0,0.475,3.87,29.4,44.1,84.1,81.3,29.8,0.318359375
299,50923_2020,0.278,31.0,0.3087248322147651,3.79,32.6,49.9,68.8,58.7,39.9,0.3551912568306011
300,60523_2021,0.33299999999999996,9.0,0.7555555555555555,4.2,16.8,38.5,84.0,80.9,32.0,0.41009463722397477
301,61102_2021,0.253,5.0,0.4444444444444444,3.82,12.5,45.7,79.5,79.5,30.4,0.32113821138211385
302,61186_2021,0.21600000000000003,2.0,1.0454545454545454,3.89,20.4,40.0,85.7,83.2,35.9,0.31958762886597936
303,61208_2021,0.228,0.0,0.6818181818181818,4.13,21.6,46.0,84.9,82.9,34.6,0.3048780487804878
304,61404_2021,0.305,3.0,0.8947368421052632,4.08,10.4,39.8,88.7,86.2,29.1,0.38095238095238093
305,62234_2021,0.259,0.0,0.6875,3.56,35.6,44.3,83.1,78.6,40.1,0.34108527131782945
306,62404_2021,0.28,11.0,0.5454545454545454,3.96,31.7,48.1,79.8,80.6,31.1,0.34718100890207715
307,62415_2021,0.302,4.0,0.8260869565217391,4.26,22.6,43.6,83.8,83.9,35.8,0.3894080996884735
308,62700_2021,0.282,4.0,0.4189189189189189,4.0,40.3,51.9,75.9,75.3,31.8,0.3622291021671827
309,62864_2021,0.228,2.0,1.0,4.31,26.9,39.7,81.6,77.6,39.0,0.37662337662337664
310,62907_2021,0.261,1.0,0.9565217391304348,3.87,11.2,40.0,89.2,82.1,32.7,0.36018957345971564
311,62925_2021,0.262,4.0,0.5454545454545454,3.74,11.3,44.5,84.7,78.1,27.9,0.3492822966507177
312,62931_2021,0.324,6.0,0.5172413793103449,4.12,29.8,44.9,72.4,71.4,35.5,0.4132231404958678
313,62947_2021,0.29,17.0,0.3382352941176471,3.79,45.5,56.3,73.9,70.7,29.7,0.36176470588235293
314,63123_2021,0.22699999999999998,2.0,0.3055555555555556,3.83,31.4,52.6,74.3,72.4,29.3,0.2926829268292683
315,63202_2021,0.23399999999999999,2.0,0.3611111111111111,3.79,38.0,47.7,72.5,68.4,33.5,0.32413793103448274
316,63257_2021,0.275,5.0,1.2222222222222223,3.89,28.7,40.9,77.5,72.7,42.5,0.4048582995951417
317,63722_2021,0.222,1.0,0.4838709677419355,4.02,27.7,38.3,72.3,62.3,37.0,0.3225806451612903
318,63963_2021,0.263,8.0,1.2083333333333333,4.47,10.5,36.4,89.2,84.2,39.7,0.4093567251461988
319,64006_2021,0.271,4.0,0.42105263157894735,4.02,21.3,47.9,85.7,84.5,23.8,0.325
320,64153_2021,0.28,16.0,0.3698630136986301,4.1,26.6,50.7,72.7,73.4,33.0,0.3440514469453376
321,64166_2021,0.278,5.0,0.5967741935483871,3.96,21.3,41.5,77.2,71.8,37.7,0.37142857142857144
322,64560_2021,0.22899999999999998,0.0,0.7241379310344828,4.13,23.2,40.6,78.0,77.9,39.8,0.3254437869822485
323,64610_2021,0.253,0.0,0.47619047619047616,4.2,19.9,39.6,78.8,71.8,33.3,0.3333333333333333
324,67504_2021,0.248,2.0,0.3333333333333333,3.85,33.9,43.8,72.9,62.2,36.7,0.3129251700680272
325,64868_2021,0.255,0.0,1.3,4.3,21.1,37.0,87.7,80.3,43.1,0.38666666666666666
326,64984_2021,0.305,0.0,0.4838709677419355,3.6,31.9,52.7,81.0,79.0,28.4,0.3524229074889868
327,65586_2021,0.196,4.0,0.42105263157894735,4.15,22.2,40.3,69.4,59.5,34.9,0.32386363636363635
328,66108_2021,0.33799999999999997,3.0,1.3863636363636365,4.18,18.0,34.5,85.4,79.9,42.4,0.478134110787172
329,76802_2021,0.282,4.0,1.7333333333333334,3.72,27.3,43.1,88.7,82.6,37.7,0.37988826815642457
330,66606_2021,0.302,1.0,0.8285714285714286,3.72,30.9,46.9,87.4,87.1,26.1,0.3684210526315789
331,67304_2021,0.294,3.0,0.6333333333333333,4.09,20.4,43.3,83.2,80.9,28.4,0.3651226158038147
332,67341_2021,0.345,3.0,2.3181818181818183,3.97,12.5,35.5,92.9,89.9,35.5,0.4425770308123249
333,67872_2021,0.24,18.0,0.8666666666666667,4.09,32.8,41.5,75.7,73.4,39.8,0.3620178041543027
334,67893_2021,0.27699999999999997,1.0,0.6363636363636364,3.93,31.3,39.9,86.5,76.4,37.0,0.3523809523809524
335,68050_2021,0.395,10.0,1.2222222222222223,4.31,18.3,39.1,80.4,78.7,35.7,0.5029761904761905
336,68362_2021,0.294,4.0,0.6071428571428571,3.83,22.2,44.6,81.6,75.9,23.9,0.38064516129032255
337,68525_2021,0.24,10.0,0.6140350877192983,4.19,17.0,38.4,78.3,73.4,40.0,0.35135135135135137
338,68743_2021,0.302,4.0,1.1403508771929824,4.53,6.0,30.1,85.2,77.2,41.5,0.43515850144092216
339,71564_2021,0.29100000000000004,10.0,0.8636363636363636,3.7,22.0,45.7,82.3,82.0,35.3,0.35909090909090907
340,71837_2021,0.25,6.0,0.4,3.96,20.2,43.5,79.4,75.5,31.3,0.3312883435582822
341,72443_2021,0.203,6.0,1.0357142857142858,4.12,23.5,42.9,75.2,78.1,40.9,0.3621621621621622
342,73113_2021,0.17300000000000001,6.0,0.2826086956521739,4.09,24.8,44.4,69.2,63.5,36.1,0.25806451612903225
343,74163_2021,0.28600000000000003,0.0,1.5,4.31,25.5,42.4,93.5,90.1,34.9,0.40202702702702703
344,74206_2021,0.235,1.0,0.7894736842105263,3.68,23.2,43.4,84.0,79.6,33.8,0.32592592592592595
345,74339_2021,0.301,1.0,1.8333333333333333,3.9,16.7,38.1,88.4,87.5,36.0,0.43506493506493504
346,74465_2021,0.257,10.0,0.627906976744186,4.09,27.8,42.0,72.2,71.3,34.8,0.3645320197044335
347,74540_2021,0.324,11.0,0.7419354838709677,3.54,22.4,43.8,81.7,79.1,38.5,0.3882783882783883
348,75125_2021,0.228,10.0,0.4492753623188406,4.05,23.3,47.0,66.1,65.6,33.0,0.3433962264150943
349,75151_2021,0.226,7.0,0.3235294117647059,4.08,27.5,49.8,78.2,78.4,23.3,0.2830188679245283
350,75334_2021,0.276,12.0,0.4482758620689655,3.91,39.6,51.1,73.0,67.9,37.5,0.36213991769547327
351,75566_2021,0.263,7.0,0.7560975609756098,3.89,23.3,42.8,79.1,74.5,42.2,0.36293436293436293
352,75847_2021,0.299,20.0,0.8333333333333334,4.0,36.1,46.3,76.2,76.2,38.4,0.42950819672131146
353,76232_2021,0.348,20.0,1.4,3.77,23.5,42.7,88.3,83.6,32.1,0.4524590163934426
354,76267_2021,0.254,10.0,0.575,4.37,10.2,42.2,85.7,81.2,32.2,0.35294117647058826
355,76290_2021,0.28800000000000003,12.0,1.5769230769230769,3.75,28.4,42.3,87.2,87.6,36.9,0.3867924528301887
356,76313_2021,0.315,7.0,0.6285714285714286,4.15,23.0,43.8,79.1,76.5,35.5,0.391304347826087
357,79402_2021,0.21100000000000002,1.0,1.1538461538461537,3.86,16.2,36.5,89.9,82.5,35.0,0.3074074074074074
358,76812_2021,0.297,3.0,0.6666666666666666,3.86,27.2,42.0,82.9,81.2,32.7,0.375
359,76849_2021,0.293,2.0,1.3703703703703705,4.21,11.6,36.7,85.8,84.8,33.3,0.4104803493449782
360,77532_2021,0.315,1.0,1.0,3.64,35.7,48.0,83.1,82.4,35.4,0.3965014577259475
361,77564_2021,0.19899999999999998,5.0,0.7073170731707317,4.2,20.4,45.8,80.4,82.1,35.3,0.305019305019305
362,78135_2021,0.218,8.0,0.7428571428571429,4.11,26.1,44.6,70.8,71.8,40.9,0.3502824858757062
363,78168_2021,0.259,4.0,1.0227272727272727,3.93,24.5,43.2,83.2,81.6,36.0,0.37425149700598803
364,78224_2021,0.271,16.0,0.7741935483870968,4.07,44.1,46.8,66.5,65.9,45.3,0.4
365,78288_2021,0.226,4.0,1.054054054054054,4.16,14.1,40.7,85.3,81.2,36.2,0.37083333333333335
366,78513_2021,0.32799999999999996,4.0,1.3125,3.69,26.9,41.9,85.3,80.7,34.9,0.4144927536231884
367,78548_2021,0.23600000000000002,9.0,0.9032258064516129,3.9,23.5,39.4,79.7,76.8,37.3,0.34497816593886466
368,78603_2021,0.295,2.0,1.5,3.87,24.9,41.4,94.1,89.2,34.6,0.3713355048859935
369,79109_2021,0.237,5.0,0.7380952380952381,3.91,30.3,42.5,79.8,74.1,35.5,0.33211678832116787
370,79150_2021,0.23199999999999998,3.0,0.71875,3.79,25.6,44.8,81.0,77.9,30.0,0.32
371,79192_2021,0.316,12.0,0.5238095238095238,3.82,19.2,48.0,76.6,77.0,28.6,0.3852140077821012
372,79215_2021,0.33799999999999997,2.0,0.75,3.73,26.9,44.9,82.7,76.2,35.5,0.4065040650406504
373,79240_2021,0.32299999999999995,4.0,0.9473684210526315,3.71,10.0,43.0,89.0,90.1,29.6,0.3708609271523179
374,79365_2021,0.265,16.0,0.463768115942029,4.08,39.6,47.9,68.1,67.9,36.9,0.37209302325581395
375,79456_2021,0.27399999999999997,0.0,0.6363636363636364,3.45,23.4,50.1,89.3,88.5,25.2,0.31851851851851853
376,79608_2021,0.325,5.0,0.8125,4.02,11.1,38.5,82.1,80.5,35.4,0.39344262295081966
377,63700_2021,0.278,0.0,0.425,3.7,36.8,44.3,71.2,62.5,41.7,0.3614457831325301
378,64468_2021,0.266,2.0,0.37037037037037035,4.2,24.0,42.4,77.8,76.9,31.6,0.3442622950819672
379,64646_2021,0.251,1.0,0.6153846153846154,4.15,25.7,42.6,85.1,84.3,30.8,0.3235294117647059
380,65362_2021,0.29600000000000004,3.0,0.5714285714285714,3.71,33.3,46.7,80.7,75.0,28.5,0.3723404255319149
381,65610_2021,0.239,4.0,0.19230769230769232,3.5,35.2,51.5,75.6,64.7,29.3,0.264
382,65898_2021,0.247,4.0,0.47058823529411764,4.22,12.2,41.3,73.0,66.5,35.2,0.3641025641025641
383,67644_2021,0.248,2.0,0.5757575757575758,4.15,18.2,40.4,74.6,69.4,36.8,0.36054421768707484
384,69209_2021,0.331,10.0,2.0526315789473686,3.47,29.5,45.5,89.3,87.6,36.7,0.4174454828660436
385,69652_2021,0.24600000000000002,5.0,1.0588235294117647,3.86,30.4,44.1,80.6,79.5,41.1,0.348993288590604
386,69737_2021,0.263,13.0,0.5487804878048781,4.12,20.2,39.4,75.2,65.7,41.0,0.37423312883435583
387,78122_2021,0.23199999999999998,4.0,0.8125,3.65,21.3,44.2,85.6,83.5,30.2,0.32867132867132864
388,50165_2021,0.243,8.0,0.4186046511627907,3.99,36.1,49.8,68.6,67.2,38.5,0.3170731707317073
389,50458_2021,0.267,1.0,0.6190476190476191,3.69,25.8,46.0,88.4,86.0,28.1,0.31382978723404253
390,50506_2021,0.27699999999999997,4.0,1.088235294117647,3.78,23.4,41.7,85.0,80.6,37.9,0.37454545454545457
391,50854_2021,0.263,4.0,1.1176470588235294,3.88,29.7,43.1,86.5,81.8,32.8,0.3706293706293706
392,50923_2021,0.28,18.0,0.2962962962962963,3.94,21.9,45.8,65.9,60.4,39.9,0.3561643835616438
393,66928_2021,0.218,6.0,0.2558139534883721,4.16,22.1,43.4,72.1,61.3,38.6,0.291044776119403
394,51004_2021,0.271,7.0,0.44,3.92,25.3,49.0,78.1,74.8,31.0,0.336
395,51203_2021,0.275,2.0,0.2,3.87,33.7,50.2,77.0,71.0,30.8,0.3194444444444444
396,51463_2021,0.312,20.0,0.6666666666666666,3.79,18.5,44.3,79.1,77.5,37.8,0.3784530386740331
397,51725_2021,0.257,7.0,0.27586206896551724,3.88,23.5,46.7,75.7,72.6,27.5,0.30597014925373134
398,51817_2021,0.255,13.0,0.8115942028985508,4.18,23.2,39.2,74.0,62.9,43.6,0.40625
399,69102_2021,0.27,7.0,0.9,4.33,24.7,39.0,81.4,79.8,38.1,0.3855421686746988
