,PCODE_YEAR,타율,홈런,볼삼비,전체,2S후선구%,출루율
339,71564_2021,0.29100000000000004,10.0,0.8636363636363636,45.7,35.3,0.3590909090909091
340,71837_2021,0.25,6.0,0.4,43.5,31.3,0.3312883435582822
341,72443_2021,0.203,6.0,1.0357142857142858,42.9,40.9,0.3621621621621622
342,73113_2021,0.173,6.0,0.2826086956521739,44.4,36.1,0.25806451612903225
343,74163_2021,0.28600000000000003,0.0,1.5,42.4,34.9,0.40202702702702703
344,74206_2021,0.235,1.0,0.7894736842105263,43.4,33.8,0.32592592592592595
345,74339_2021,0.301,1.0,1.8333333333333333,38.1,36.0,0.43506493506493504
346,74465_2021,0.257,10.0,0.627906976744186,42.0,34.8,0.3645320197044335
347,74540_2021,0.324,11.0,0.7419354838709677,43.8,38.5,0.3882783882783883
348,75125_2021,0.228,10.0,0.4492753623188406,47.0,33.0,0.3433962264150943
349,75151_2021,0.226,7.0,0.3235294117647059,49.8,23.3,0.2830188679245283
350,75334_2021,0.276,12.0,0.4482758620689655,51.1,37.5,0.3621399176954733
351,75566_2021,0.263,7.0,0.7560975609756098,42.8,42.2,0.3629343629343629
354,76267_2021,0.254,10.0,0.575,42.2,32.2,0.35294117647058826
356,76313_2021,0.315,7.0,0.6285714285714286,43.8,35.5,0.39130434782608703
357,79402_2021,0.211,1.0,1.1538461538461535,36.5,35.0,0.3074074074074074
358,76812_2021,0.297,3.0,0.6666666666666666,42.0,32.7,0.375
359,76849_2021,0.293,2.0,1.3703703703703705,36.7,33.3,0.4104803493449782
360,77532_2021,0.315,1.0,1.0,48.0,35.4,0.3965014577259475
361,77564_2021,0.199,5.0,0.7073170731707317,45.8,35.3,0.30501930501930496
362,78135_2021,0.218,8.0,0.7428571428571429,44.6,40.9,0.3502824858757062
363,78168_2021,0.259,4.0,1.0227272727272727,43.2,36.0,0.374251497005988
365,78288_2021,0.226,4.0,1.054054054054054,40.7,36.2,0.37083333333333335
367,78548_2021,0.236,9.0,0.9032258064516128,39.4,37.3,0.34497816593886466
368,78603_2021,0.295,2.0,1.5,41.4,34.6,0.3713355048859935
369,79109_2021,0.237,5.0,0.7380952380952381,42.5,35.5,0.3321167883211679
370,79150_2021,0.232,3.0,0.71875,44.8,30.0,0.32
373,79240_2021,0.32299999999999995,4.0,0.9473684210526316,43.0,29.6,0.3708609271523179
374,79365_2021,0.265,16.0,0.463768115942029,47.9,36.9,0.372093023255814
375,79456_2021,0.274,0.0,0.6363636363636364,50.1,25.2,0.3185185185185185
376,79608_2021,0.325,5.0,0.8125,38.5,35.4,0.3934426229508197
377,63700_2021,0.278,0.0,0.425,44.3,41.7,0.3614457831325301
378,64468_2021,0.266,2.0,0.3703703703703704,42.4,31.6,0.3442622950819672
379,64646_2021,0.251,1.0,0.6153846153846154,42.6,30.8,0.3235294117647059
380,65362_2021,0.29600000000000004,3.0,0.5714285714285714,46.7,28.5,0.3723404255319149
381,65610_2021,0.239,4.0,0.19230769230769232,51.5,29.3,0.264
382,65898_2021,0.247,4.0,0.4705882352941176,41.3,35.2,0.3641025641025641
383,67644_2021,0.248,2.0,0.5757575757575758,40.4,36.8,0.3605442176870749
384,69209_2021,0.331,10.0,2.0526315789473686,45.5,36.7,0.4174454828660436
385,69652_2021,0.246,5.0,1.0588235294117647,44.1,41.1,0.34899328859060397
386,69737_2021,0.263,13.0,0.5487804878048781,39.4,41.0,0.37423312883435583
387,78122_2021,0.232,4.0,0.8125,44.2,30.2,0.32867132867132864
388,50165_2021,0.243,8.0,0.4186046511627907,49.8,38.5,0.3170731707317073
389,50458_2021,0.267,1.0,0.6190476190476191,46.0,28.1,0.3138297872340425
390,50506_2021,0.277,4.0,1.088235294117647,41.7,37.9,0.37454545454545457
391,50854_2021,0.263,4.0,1.1176470588235294,43.1,32.8,0.3706293706293706
392,50923_2021,0.28,18.0,0.2962962962962963,45.8,39.9,0.3561643835616438
393,66928_2021,0.218,6.0,0.2558139534883721,43.4,38.6,0.291044776119403
394,51004_2021,0.271,7.0,0.44,49.0,31.0,0.336
395,51203_2021,0.275,2.0,0.2,50.2,30.8,0.3194444444444444
396,51463_2021,0.312,20.0,0.6666666666666666,44.3,37.8,0.3784530386740331
397,51725_2021,0.257,7.0,0.27586206896551724,46.7,27.5,0.3059701492537313
398,51817_2021,0.255,13.0,0.8115942028985508,39.2,43.6,0.40625
399,69102_2021,0.27,7.0,0.9,39.0,38.1,0.3855421686746988
